muni,mes,ano,desastre,uf,valor_parcela,rio_doce,afetado,pop
ABADIA DOS DOURADOS,01,2015,Antes do Desastre,MG,13224,0,0,6603
ABADIA DOS DOURADOS,01,2016,Após o Desastre,MG,6856,0,0,6603
ABADIA DOS DOURADOS,02,2015,Antes do Desastre,MG,11692,0,0,6603
ABADIA DOS DOURADOS,02,2016,Após o Desastre,MG,22880,0,0,6603
ABADIA DOS DOURADOS,03,2015,Antes do Desastre,MG,11032,0,0,6603
ABADIA DOS DOURADOS,03,2016,Após o Desastre,MG,14080,0,0,6603
ABADIA DOS DOURADOS,12,2014,Antes do Desastre,MG,7964,0,0,6603
ABADIA DOS DOURADOS,12,2015,Após o Desastre,MG,2364,0,0,6603
ABAETE,01,2015,Antes do Desastre,MG,385244,0,0,22450
ABAETE,01,2016,Após o Desastre,MG,38928,0,0,22450
ABAETE,02,2015,Antes do Desastre,MG,129956,0,0,22450
ABAETE,02,2016,Após o Desastre,MG,609840,0,0,22450
ABAETE,03,2015,Antes do Desastre,MG,327808,0,0,22450
ABAETE,03,2016,Após o Desastre,MG,132000.83,0,0,22450
ABAETE,04,2015,Antes do Desastre,MG,788,0,0,22450
ABAETE,04,2016,Após o Desastre,MG,6160,0,0,22450
ABAETE,06,2016,Após o Desastre,MG,7040,0,0,22450
ABAETE,07,2016,Após o Desastre,MG,2640,0,0,22450
ABAETE,12,2014,Antes do Desastre,MG,430780,0,0,22450
ABAETE,12,2015,Após o Desastre,MG,198576,0,0,22450
ABRE CAMPO,02,2016,Após o Desastre,MG,1760,1,0,12804
ABRE CAMPO,12,2015,Após o Desastre,MG,788,1,0,12804
AFONSO CLAUDIO,02,2016,Após o Desastre,ES,1760,1,0,30658
AGUA COMPRIDA,01,2015,Antes do Desastre,MG,10584,0,0,1997
AGUA COMPRIDA,01,2016,Após o Desastre,MG,2364,0,0,1997
AGUA COMPRIDA,02,2015,Antes do Desastre,MG,6304,0,0,1997
AGUA COMPRIDA,02,2016,Após o Desastre,MG,17600,0,0,1997
AGUA COMPRIDA,03,2015,Antes do Desastre,MG,10244,0,0,1997
AGUA COMPRIDA,03,2016,Após o Desastre,MG,5280,0,0,1997
AGUA COMPRIDA,12,2014,Antes do Desastre,MG,12308,0,0,1997
AGUA COMPRIDA,12,2015,Após o Desastre,MG,5516,0,0,1997
AGUANIL,01,2015,Antes do Desastre,MG,100856,0,0,4024
AGUANIL,01,2016,Após o Desastre,MG,37616,0,0,4024
AGUANIL,02,2015,Antes do Desastre,MG,48068,0,0,4024
AGUANIL,02,2016,Após o Desastre,MG,157520,0,0,4024
AGUANIL,03,2015,Antes do Desastre,MG,78012,0,0,4024
AGUANIL,03,2016,Após o Desastre,MG,90640,0,0,4024
AGUANIL,05,2016,Após o Desastre,MG,1760,0,0,4024
AGUANIL,12,2014,Antes do Desastre,MG,73848,0,0,4024
AGUANIL,12,2015,Após o Desastre,MG,19700,0,0,4024
AGUAS FORMOSAS,01,2015,Antes do Desastre,MG,48256,0,0,18156
AGUAS FORMOSAS,01,2016,Após o Desastre,MG,1760,0,0,18156
AGUAS FORMOSAS,02,2015,Antes do Desastre,MG,14972,0,0,18156
AGUAS FORMOSAS,02,2016,Após o Desastre,MG,49280,0,0,18156
AGUAS FORMOSAS,03,2015,Antes do Desastre,MG,38612,0,0,18156
AGUAS FORMOSAS,03,2016,Após o Desastre,MG,3520,0,0,18156
AGUAS FORMOSAS,12,2014,Antes do Desastre,MG,47060,0,0,18156
AGUAS FORMOSAS,12,2015,Após o Desastre,MG,26792,0,0,18156
AGUAS VERMELHAS,01,2015,Antes do Desastre,MG,154544,0,0,12607
AGUAS VERMELHAS,01,2016,Após o Desastre,MG,38772,0,0,12607
AGUAS VERMELHAS,02,2015,Antes do Desastre,MG,60612,0,0,12607
AGUAS VERMELHAS,02,2016,Após o Desastre,MG,394090.87,0,0,12607
AGUAS VERMELHAS,03,2015,Antes do Desastre,MG,155236,0,0,12607
AGUAS VERMELHAS,03,2016,Após o Desastre,MG,123200,0,0,12607
AGUAS VERMELHAS,04,2016,Após o Desastre,MG,3520,0,0,12607
AGUAS VERMELHAS,05,2016,Após o Desastre,MG,7040,0,0,12607
AGUAS VERMELHAS,06,2015,Antes do Desastre,MG,788,0,0,12607
AGUAS VERMELHAS,12,2014,Antes do Desastre,MG,140456,0,0,12607
AGUAS VERMELHAS,12,2015,Após o Desastre,MG,14184,0,0,12607
AGUIA BRANCA,01,2015,Antes do Desastre,ES,2172,1,0,9230
AGUIA BRANCA,02,2015,Antes do Desastre,ES,2364,1,0,9230
AGUIA BRANCA,02,2016,Após o Desastre,ES,2640,1,0,9230
AGUIA BRANCA,03,2015,Antes do Desastre,ES,2364,1,0,9230
AGUIA BRANCA,03,2016,Após o Desastre,ES,2640,1,0,9230
AGUIA BRANCA,12,2014,Antes do Desastre,ES,2172,1,0,9230
AGUIA BRANCA,12,2015,Após o Desastre,ES,2364,1,0,9230
AIMORES,01,2015,Antes do Desastre,MG,64464,1,1,24592
AIMORES,01,2016,Após o Desastre,MG,20200,1,1,24592
AIMORES,02,2015,Antes do Desastre,MG,11820,1,1,24592
AIMORES,02,2016,Após o Desastre,MG,110000,1,1,24592
AIMORES,03,2015,Antes do Desastre,MG,52796,1,1,24592
AIMORES,03,2016,Após o Desastre,MG,13200,1,1,24592
AIMORES,12,2014,Antes do Desastre,MG,73848,1,1,24592
AIMORES,12,2015,Após o Desastre,MG,23640,1,1,24592
ALEGRE,01,2015,Antes do Desastre,ES,16632,0,0,30421
ALEGRE,02,2015,Antes do Desastre,ES,8668,0,0,30421
ALEGRE,02,2016,Após o Desastre,ES,30800,0,0,30421
ALEGRE,03,2015,Antes do Desastre,ES,15760,0,0,30421
ALEGRE,03,2016,Após o Desastre,ES,4400,0,0,30421
ALEGRE,05,2016,Após o Desastre,ES,3520,0,0,30421
ALEGRE,12,2014,Antes do Desastre,ES,18100,0,0,30421
ALEGRE,12,2015,Após o Desastre,ES,11032,0,0,30421
ALEM PARAIBA,02,2016,Após o Desastre,MG,1760,0,0,34103
ALEM PARAIBA,12,2015,Após o Desastre,MG,788,0,0,34103
ALFENAS,01,2015,Antes do Desastre,MG,294200,0,0,73347
ALFENAS,01,2016,Após o Desastre,MG,227564,0,0,73347
ALFENAS,02,2015,Antes do Desastre,MG,115516,0,0,73347
ALFENAS,02,2016,Após o Desastre,MG,440000,0,0,73347
ALFENAS,03,2015,Antes do Desastre,MG,218276,0,0,73347
ALFENAS,03,2016,Após o Desastre,MG,88880,0,0,73347
ALFENAS,04,2015,Antes do Desastre,MG,788,0,0,73347
ALFENAS,04,2016,Após o Desastre,MG,3520,0,0,73347
ALFENAS,05,2015,Antes do Desastre,MG,3152,0,0,73347
ALFENAS,06,2015,Antes do Desastre,MG,3152,0,0,73347
ALFENAS,12,2014,Antes do Desastre,MG,223716,0,0,73347
ALFENAS,12,2015,Após o Desastre,MG,2364,0,0,73347
ALFREDO CHAVES,02,2015,Antes do Desastre,ES,2364,0,0,13946
ALFREDO CHAVES,02,2016,Após o Desastre,ES,1760,0,0,13946
ALFREDO CHAVES,03,2015,Antes do Desastre,ES,788,0,0,13946
ALFREDO CHAVES,12,2015,Após o Desastre,ES,788,0,0,13946
ALMENARA,01,2015,Antes do Desastre,MG,134740,0,0,38231
ALMENARA,01,2016,Após o Desastre,MG,14684,0,0,38231
ALMENARA,02,2015,Antes do Desastre,MG,20488,0,0,38231
ALMENARA,02,2016,Após o Desastre,MG,205920,0,0,38231
ALMENARA,03,2015,Antes do Desastre,MG,100864,0,0,38231
ALMENARA,03,2016,Após o Desastre,MG,7040,0,0,38231
ALMENARA,05,2016,Após o Desastre,MG,2210.06,0,0,38231
ALMENARA,11,2014,Antes do Desastre,MG,780,0,0,38231
ALMENARA,12,2014,Antes do Desastre,MG,129596,0,0,38231
ALMENARA,12,2015,Após o Desastre,MG,75648,0,0,38231
ALPERCATA,01,2015,Antes do Desastre,MG,3748,1,1,7073
ALPERCATA,01,2016,Após o Desastre,MG,3520,1,1,7073
ALPERCATA,02,2015,Antes do Desastre,MG,1576,1,1,7073
ALPERCATA,02,2016,Após o Desastre,MG,9680,1,1,7073
ALPERCATA,03,2015,Antes do Desastre,MG,3152,1,1,7073
ALPERCATA,03,2016,Após o Desastre,MG,880,1,1,7073
ALPERCATA,05,2016,Após o Desastre,MG,3520,1,1,7073
ALPERCATA,12,2014,Antes do Desastre,MG,3620,1,1,7073
ALPINOPOLIS,01,2015,Antes do Desastre,MG,13480,0,0,18344
ALPINOPOLIS,01,2016,Após o Desastre,MG,7040,0,0,18344
ALPINOPOLIS,02,2015,Antes do Desastre,MG,3152,0,0,18344
ALPINOPOLIS,02,2016,Após o Desastre,MG,15840,0,0,18344
ALPINOPOLIS,03,2015,Antes do Desastre,MG,11820,0,0,18344
ALPINOPOLIS,03,2016,Após o Desastre,MG,3520,0,0,18344
ALPINOPOLIS,12,2014,Antes do Desastre,MG,7964,0,0,18344
ALPINOPOLIS,12,2015,Após o Desastre,MG,2364,0,0,18344
ALTEROSA,01,2015,Antes do Desastre,MG,99236,0,0,13313
ALTEROSA,01,2016,Após o Desastre,MG,41240,0,0,13313
ALTEROSA,02,2015,Antes do Desastre,MG,40848,0,0,13313
ALTEROSA,02,2016,Após o Desastre,MG,118708,0,0,13313
ALTEROSA,03,2015,Antes do Desastre,MG,75648,0,0,13313
ALTEROSA,03,2016,Após o Desastre,MG,49280,0,0,13313
ALTEROSA,04,2015,Antes do Desastre,MG,788,0,0,13313
ALTEROSA,07,2015,Antes do Desastre,MG,788,0,0,13313
ALTEROSA,12,2014,Antes do Desastre,MG,68780,0,0,13313
ALTEROSA,12,2015,Após o Desastre,MG,22852,0,0,13313
ANCHIETA,01,2015,Antes do Desastre,ES,215872,0,0,23778
ANCHIETA,01,2016,Após o Desastre,ES,65920,0,0,23778
ANCHIETA,02,2015,Antes do Desastre,ES,95100,0,0,23778
ANCHIETA,02,2016,Após o Desastre,ES,151268,0,0,23778
ANCHIETA,03,2015,Antes do Desastre,ES,107956,0,0,23778
ANCHIETA,03,2016,Após o Desastre,ES,42240,0,0,23778
ANCHIETA,04,2015,Antes do Desastre,ES,16595.16,0,0,23778
ANCHIETA,04,2016,Após o Desastre,ES,11440,0,0,23778
ANCHIETA,05,2015,Antes do Desastre,ES,23640,0,0,23778
ANCHIETA,05,2016,Após o Desastre,ES,34320,0,0,23778
ANCHIETA,06,2015,Antes do Desastre,ES,29944,0,0,23778
ANCHIETA,06,2016,Após o Desastre,ES,12320,0,0,23778
ANCHIETA,07,2015,Antes do Desastre,ES,4728,0,0,23778
ANCHIETA,07,2016,Após o Desastre,ES,880,0,0,23778
ANCHIETA,08,2016,Após o Desastre,ES,880,0,0,23778
ANCHIETA,09,2016,Após o Desastre,ES,4400,0,0,23778
ANCHIETA,10,2015,Antes do Desastre,ES,73284,0,0,23778
ANCHIETA,10,2016,Após o Desastre,ES,111760,0,0,23778
ANCHIETA,11,2014,Antes do Desastre,ES,76612.05,0,0,23778
ANCHIETA,11,2015,Antes do Desastre,ES,408184,0,0,23778
ANCHIETA,11,2016,Após o Desastre,ES,211200,0,0,23778
ANCHIETA,12,2014,Antes do Desastre,ES,634948,0,0,23778
ANCHIETA,12,2015,Após o Desastre,ES,298652,0,0,23778
ARACRUZ,01,2015,Antes do Desastre,ES,533716,0,0,81005
ARACRUZ,01,2016,Após o Desastre,ES,89720,0,0,81005
ARACRUZ,02,2015,Antes do Desastre,ES,252429.97,0,0,81005
ARACRUZ,02,2016,Após o Desastre,ES,800794.26,0,0,81005
ARACRUZ,03,2015,Antes do Desastre,ES,416064,0,0,81005
ARACRUZ,03,2016,Após o Desastre,ES,215600,0,0,81005
ARACRUZ,04,2015,Antes do Desastre,ES,2364,0,0,81005
ARACRUZ,04,2016,Após o Desastre,ES,44880,0,0,81005
ARACRUZ,05,2015,Antes do Desastre,ES,9456,0,0,81005
ARACRUZ,05,2016,Após o Desastre,ES,78320,0,0,81005
ARACRUZ,06,2015,Antes do Desastre,ES,36248,0,0,81005
ARACRUZ,06,2016,Após o Desastre,ES,18480,0,0,81005
ARACRUZ,07,2015,Antes do Desastre,ES,7880,0,0,81005
ARACRUZ,07,2016,Após o Desastre,ES,1760,0,0,81005
ARACRUZ,08,2016,Após o Desastre,ES,1565.7,0,0,81005
ARACRUZ,10,2015,Antes do Desastre,ES,8668,0,0,81005
ARACRUZ,10,2016,Após o Desastre,ES,11440,0,0,81005
ARACRUZ,11,2014,Antes do Desastre,ES,12537.5,0,0,81005
ARACRUZ,11,2015,Antes do Desastre,ES,30732,0,0,81005
ARACRUZ,11,2016,Após o Desastre,ES,11440,0,0,81005
ARACRUZ,12,2014,Antes do Desastre,ES,437296,0,0,81005
ARACRUZ,12,2015,Após o Desastre,ES,171769.09,0,0,81005
ARACUAI,01,2015,Antes do Desastre,MG,81416,0,0,35235
ARACUAI,01,2016,Após o Desastre,MG,9220,0,0,35235
ARACUAI,02,2015,Antes do Desastre,MG,14972,0,0,35235
ARACUAI,02,2016,Após o Desastre,MG,137280,0,0,35235
ARACUAI,03,2015,Antes do Desastre,MG,72496,0,0,35235
ARACUAI,03,2016,Após o Desastre,MG,14080,0,0,35235
ARACUAI,12,2014,Antes do Desastre,MG,102084,0,0,35235
ARACUAI,12,2015,Após o Desastre,MG,55948,0,0,35235
ARAGUARI,01,2015,Antes do Desastre,MG,283024,0,0,109182
ARAGUARI,01,2016,Após o Desastre,MG,130840,0,0,109182
ARAGUARI,02,2015,Antes do Desastre,MG,85104,0,0,109182
ARAGUARI,02,2016,Após o Desastre,MG,451440,0,0,109182
ARAGUARI,03,2015,Antes do Desastre,MG,223004,0,0,109182
ARAGUARI,03,2016,Após o Desastre,MG,127600,0,0,109182
ARAGUARI,04,2016,Após o Desastre,MG,15840,0,0,109182
ARAGUARI,05,2016,Após o Desastre,MG,1760,0,0,109182
ARAGUARI,11,2016,Após o Desastre,MG,1760,0,0,109182
ARAGUARI,12,2014,Antes do Desastre,MG,270776,0,0,109182
ARAGUARI,12,2015,Após o Desastre,MG,35460,0,0,109182
ARAPORA,01,2015,Antes do Desastre,MG,1512,0,0,6127
ARAPORA,02,2015,Antes do Desastre,MG,788,0,0,6127
ARAPORA,02,2016,Após o Desastre,MG,3520,0,0,6127
ARAPORA,03,2015,Antes do Desastre,MG,1576,0,0,6127
ARAPORA,03,2016,Após o Desastre,MG,3520,0,0,6127
ARAPORA,12,2014,Antes do Desastre,MG,2172,0,0,6127
ARAPUA,01,2015,Antes do Desastre,MG,2236,0,0,2754
ARAPUA,02,2015,Antes do Desastre,MG,788,0,0,2754
ARAPUA,02,2016,Após o Desastre,MG,5280,0,0,2754
ARAPUA,03,2015,Antes do Desastre,MG,1576,0,0,2754
ARAPUA,03,2016,Após o Desastre,MG,1760,0,0,2754
ARAPUA,12,2014,Antes do Desastre,MG,1448,0,0,2754
ARAPUA,12,2015,Após o Desastre,MG,1576,0,0,2754
ARAUJOS,01,2015,Antes do Desastre,MG,2300,0,0,7845
ARAUJOS,02,2016,Após o Desastre,MG,1760,0,0,7845
ARAUJOS,03,2015,Antes do Desastre,MG,1576,0,0,7845
ARAUJOS,03,2016,Após o Desastre,MG,3520,0,0,7845
ARAUJOS,12,2014,Antes do Desastre,MG,2172,0,0,7845
ARAUJOS,12,2015,Após o Desastre,MG,788,0,0,7845
ARAXA,01,2015,Antes do Desastre,MG,3152,0,0,93128
ARAXA,02,2015,Antes do Desastre,MG,2364,0,0,93128
ARAXA,02,2016,Após o Desastre,MG,7920,0,0,93128
ARAXA,03,2015,Antes do Desastre,MG,1576,0,0,93128
ARAXA,03,2016,Após o Desastre,MG,880,0,0,93128
ARAXA,12,2014,Antes do Desastre,MG,1448,0,0,93128
ARCEBURGO,01,2015,Antes do Desastre,MG,4536,0,0,9462
ARCEBURGO,01,2016,Após o Desastre,MG,3520,0,0,9462
ARCEBURGO,02,2016,Após o Desastre,MG,3520,0,0,9462
ARCEBURGO,03,2015,Antes do Desastre,MG,2364,0,0,9462
ARCEBURGO,12,2014,Antes do Desastre,MG,2172,0,0,9462
ARCOS,01,2015,Antes do Desastre,MG,10712,0,0,36383
ARCOS,02,2015,Antes do Desastre,MG,788,0,0,36383
ARCOS,02,2016,Após o Desastre,MG,7040,0,0,36383
ARCOS,03,2015,Antes do Desastre,MG,7880,0,0,36383
ARCOS,03,2016,Após o Desastre,MG,15840,0,0,36383
ARCOS,10,2016,Após o Desastre,MG,3520,0,0,36383
ARCOS,12,2014,Antes do Desastre,MG,10860,0,0,36383
ARCOS,12,2015,Após o Desastre,MG,2364,0,0,36383
AREADO,01,2015,Antes do Desastre,MG,108756,0,0,13596
AREADO,01,2016,Após o Desastre,MG,38324,0,0,13596
AREADO,02,2015,Antes do Desastre,MG,46492,0,0,13596
AREADO,02,2016,Após o Desastre,MG,132696,0,0,13596
AREADO,03,2015,Antes do Desastre,MG,76436,0,0,13596
AREADO,03,2016,Após o Desastre,MG,35200,0,0,13596
AREADO,04,2016,Após o Desastre,MG,7920,0,0,13596
AREADO,07,2015,Antes do Desastre,MG,3152,0,0,13596
AREADO,12,2014,Antes do Desastre,MG,65160,0,0,13596
AREADO,12,2015,Após o Desastre,MG,14184,0,0,13596
ARINOS,01,2015,Antes do Desastre,MG,176220,0,0,17078
ARINOS,01,2016,Após o Desastre,MG,1760,0,0,17078
ARINOS,02,2015,Antes do Desastre,MG,74796,0,0,17078
ARINOS,02,2016,Após o Desastre,MG,282480,0,0,17078
ARINOS,03,2015,Antes do Desastre,MG,134748,0,0,17078
ARINOS,03,2016,Após o Desastre,MG,110865.96,0,0,17078
ARINOS,04,2016,Após o Desastre,MG,31680,0,0,17078
ARINOS,05,2016,Após o Desastre,MG,7040,0,0,17078
ARINOS,06,2016,Após o Desastre,MG,3520,0,0,17078
ARINOS,08,2016,Após o Desastre,MG,3520,0,0,17078
ARINOS,11,2016,Após o Desastre,MG,3520,0,0,17078
ARINOS,12,2014,Antes do Desastre,MG,136112,0,0,17078
AUGUSTO DE LIMA,01,2015,Antes do Desastre,MG,724,0,0,4891
AUGUSTO DE LIMA,02,2015,Antes do Desastre,MG,788,0,0,4891
AUGUSTO DE LIMA,02,2016,Após o Desastre,MG,880,0,0,4891
AUGUSTO DE LIMA,03,2015,Antes do Desastre,MG,788,0,0,4891
AUGUSTO DE LIMA,03,2016,Após o Desastre,MG,880,0,0,4891
AUGUSTO DE LIMA,12,2014,Antes do Desastre,MG,724,0,0,4891
AUGUSTO DE LIMA,12,2015,Após o Desastre,MG,788,0,0,4891
BAIXO GUANDU,01,2015,Antes do Desastre,ES,60204,1,1,28578
BAIXO GUANDU,01,2016,Após o Desastre,ES,13712,1,1,28578
BAIXO GUANDU,02,2015,Antes do Desastre,ES,37824,1,1,28578
BAIXO GUANDU,02,2016,Após o Desastre,ES,141680,1,1,28578
BAIXO GUANDU,03,2015,Antes do Desastre,ES,64616,1,1,28578
BAIXO GUANDU,03,2016,Após o Desastre,ES,13200,1,1,28578
BAIXO GUANDU,04,2015,Antes do Desastre,ES,788,1,1,28578
BAIXO GUANDU,04,2016,Após o Desastre,ES,3520,1,1,28578
BAIXO GUANDU,12,2014,Antes do Desastre,ES,55024,1,1,28578
BAIXO GUANDU,12,2015,Após o Desastre,ES,20488,1,1,28578
BAMBUI,01,2015,Antes do Desastre,MG,79796,0,0,22546
BAMBUI,01,2016,Após o Desastre,MG,3152,0,0,22546
BAMBUI,02,2015,Antes do Desastre,MG,33096,0,0,22546
BAMBUI,02,2016,Após o Desastre,MG,178640,0,0,22546
BAMBUI,03,2015,Antes do Desastre,MG,70920,0,0,22546
BAMBUI,03,2016,Após o Desastre,MG,48400,0,0,22546
BAMBUI,08,2016,Após o Desastre,MG,7042.93,0,0,22546
BAMBUI,12,2014,Antes do Desastre,MG,87604,0,0,22546
BAMBUI,12,2015,Após o Desastre,MG,32308,0,0,22546
BELO HORIZONTE,01,2015,Antes do Desastre,MG,21424,0,0,2356178
BELO HORIZONTE,01,2016,Após o Desastre,MG,788,0,0,2356178
BELO HORIZONTE,02,2015,Antes do Desastre,MG,16548,0,0,2356178
BELO HORIZONTE,02,2016,Após o Desastre,MG,22880,0,0,2356178
BELO HORIZONTE,03,2015,Antes do Desastre,MG,18124,0,0,2356178
BELO HORIZONTE,03,2016,Após o Desastre,MG,11440,0,0,2356178
BELO HORIZONTE,04,2016,Após o Desastre,MG,880,0,0,2356178
BELO HORIZONTE,12,2014,Antes do Desastre,MG,14480,0,0,2356178
BELO HORIZONTE,12,2015,Após o Desastre,MG,4728,0,0,2356178
BELO ORIENTE,01,2015,Antes do Desastre,MG,8348,1,1,23085
BELO ORIENTE,01,2016,Após o Desastre,MG,1576,1,1,23085
BELO ORIENTE,02,2015,Antes do Desastre,MG,1576,1,1,23085
BELO ORIENTE,02,2016,Após o Desastre,MG,8800,1,1,23085
BELO ORIENTE,03,2015,Antes do Desastre,MG,4728,1,1,23085
BELO ORIENTE,03,2016,Após o Desastre,MG,1760,1,1,23085
BELO ORIENTE,12,2014,Antes do Desastre,MG,2172,1,1,23085
BELO ORIENTE,12,2015,Após o Desastre,MG,1576,1,1,23085
BERILO,01,2015,Antes do Desastre,MG,19528,0,0,12038
BERILO,01,2016,Após o Desastre,MG,1576,0,0,12038
BERILO,02,2015,Antes do Desastre,MG,11820,0,0,12038
BERILO,02,2016,Após o Desastre,MG,34320,0,0,12038
BERILO,03,2015,Antes do Desastre,MG,18912,0,0,12038
BERILO,03,2016,Após o Desastre,MG,7920,0,0,12038
BERILO,09,2016,Após o Desastre,MG,3520,0,0,12038
BERILO,12,2014,Antes do Desastre,MG,22444,0,0,12038
BERILO,12,2015,Após o Desastre,MG,11820,0,0,12038
BERIZAL,01,2015,Antes do Desastre,MG,37012,0,0,4295
BERIZAL,02,2015,Antes do Desastre,MG,20424,0,0,4295
BERIZAL,02,2016,Após o Desastre,MG,128480,0,0,4295
BERIZAL,03,2015,Antes do Desastre,MG,34672,0,0,4295
BERIZAL,03,2016,Após o Desastre,MG,107360,0,0,4295
BERIZAL,04,2015,Antes do Desastre,MG,788,0,0,4295
BERIZAL,06,2016,Após o Desastre,MG,3520,0,0,4295
BERIZAL,07,2016,Após o Desastre,MG,3520,0,0,4295
BERIZAL,12,2014,Antes do Desastre,MG,30408,0,0,4295
BETIM,01,2015,Antes do Desastre,MG,11840,0,0,376578
BETIM,01,2016,Após o Desastre,MG,8638.63,0,0,376578
BETIM,02,2015,Antes do Desastre,MG,8668,0,0,376578
BETIM,02,2016,Após o Desastre,MG,12320,0,0,376578
BETIM,03,2015,Antes do Desastre,MG,11820,0,0,376578
BETIM,03,2016,Após o Desastre,MG,15840,0,0,376578
BETIM,04,2016,Após o Desastre,MG,3520,0,0,376578
BETIM,10,2016,Após o Desastre,MG,3520,0,0,376578
BETIM,12,2014,Antes do Desastre,MG,14480,0,0,376578
BETIM,12,2015,Após o Desastre,MG,3152,0,0,376578
BICAS,01,2015,Antes do Desastre,MG,1576,0,0,13576
BICAS,02,2015,Antes do Desastre,MG,788,0,0,13576
BICAS,02,2016,Após o Desastre,MG,2640,0,0,13576
BICAS,03,2015,Antes do Desastre,MG,788,0,0,13576
BICAS,03,2016,Após o Desastre,MG,880,0,0,13576
BIQUINHAS,01,2015,Antes do Desastre,MG,26044,0,0,2608
BIQUINHAS,01,2016,Após o Desastre,MG,10796,0,0,2608
BIQUINHAS,02,2015,Antes do Desastre,MG,17336,0,0,2608
BIQUINHAS,02,2016,Após o Desastre,MG,58960,0,0,2608
BIQUINHAS,03,2015,Antes do Desastre,MG,29156,0,0,2608
BIQUINHAS,03,2016,Após o Desastre,MG,32560,0,0,2608
BIQUINHAS,04,2015,Antes do Desastre,MG,3152,0,0,2608
BIQUINHAS,05,2016,Após o Desastre,MG,3520,0,0,2608
BIQUINHAS,12,2014,Antes do Desastre,MG,27512,0,0,2608
BIQUINHAS,12,2015,Após o Desastre,MG,788,0,0,2608
BOA ESPERANCA,01,2015,Antes do Desastre,ES,20444,0,0,38204
BOA ESPERANCA,01,2015,Antes do Desastre,ES,20444,0,0,13995
BOA ESPERANCA,01,2015,Antes do Desastre,MG,372724,0,0,38204
BOA ESPERANCA,01,2015,Antes do Desastre,MG,372724,0,0,13995
BOA ESPERANCA,01,2016,Após o Desastre,ES,1760,0,0,38204
BOA ESPERANCA,01,2016,Após o Desastre,ES,1760,0,0,13995
BOA ESPERANCA,01,2016,Após o Desastre,MG,44156,0,0,38204
BOA ESPERANCA,01,2016,Após o Desastre,MG,44156,0,0,13995
BOA ESPERANCA,02,2015,Antes do Desastre,ES,9456,0,0,38204
BOA ESPERANCA,02,2015,Antes do Desastre,ES,9456,0,0,13995
BOA ESPERANCA,02,2015,Antes do Desastre,MG,105592,0,0,38204
BOA ESPERANCA,02,2015,Antes do Desastre,MG,105592,0,0,13995
BOA ESPERANCA,02,2016,Após o Desastre,ES,30800,0,0,38204
BOA ESPERANCA,02,2016,Após o Desastre,ES,30800,0,0,13995
BOA ESPERANCA,02,2016,Após o Desastre,MG,585868.67,0,0,38204
BOA ESPERANCA,02,2016,Após o Desastre,MG,585868.67,0,0,13995
BOA ESPERANCA,03,2015,Antes do Desastre,ES,13396,0,0,38204
BOA ESPERANCA,03,2015,Antes do Desastre,ES,13396,0,0,13995
BOA ESPERANCA,03,2015,Antes do Desastre,MG,301016,0,0,38204
BOA ESPERANCA,03,2015,Antes do Desastre,MG,301016,0,0,13995
BOA ESPERANCA,03,2016,Após o Desastre,ES,4400,0,0,38204
BOA ESPERANCA,03,2016,Após o Desastre,ES,4400,0,0,13995
BOA ESPERANCA,03,2016,Após o Desastre,MG,98376,0,0,38204
BOA ESPERANCA,03,2016,Após o Desastre,MG,98376,0,0,13995
BOA ESPERANCA,04,2015,Antes do Desastre,MG,788,0,0,38204
BOA ESPERANCA,04,2015,Antes do Desastre,MG,788,0,0,13995
BOA ESPERANCA,07,2016,Após o Desastre,MG,1813.56,0,0,38204
BOA ESPERANCA,07,2016,Após o Desastre,MG,1813.56,0,0,13995
BOA ESPERANCA,12,2014,Antes do Desastre,ES,10860,0,0,38204
BOA ESPERANCA,12,2014,Antes do Desastre,ES,10860,0,0,13995
BOA ESPERANCA,12,2014,Antes do Desastre,MG,365620,0,0,38204
BOA ESPERANCA,12,2014,Antes do Desastre,MG,365620,0,0,13995
BOA ESPERANCA,12,2015,Após o Desastre,ES,12608,0,0,38204
BOA ESPERANCA,12,2015,Após o Desastre,ES,12608,0,0,13995
BOA ESPERANCA,12,2015,Após o Desastre,MG,180452,0,0,38204
BOA ESPERANCA,12,2015,Após o Desastre,MG,180452,0,0,13995
BOCAIUVA,01,2015,Antes do Desastre,MG,1512,0,0,46261
BOCAIUVA,02,2016,Após o Desastre,MG,1760,0,0,46261
BOCAIUVA,03,2015,Antes do Desastre,MG,788,0,0,46261
BOCAIUVA,12,2014,Antes do Desastre,MG,724,0,0,46261
BOM DESPACHO,01,2015,Antes do Desastre,MG,124260,0,0,45454
BOM DESPACHO,01,2016,Após o Desastre,MG,5516,0,0,45454
BOM DESPACHO,02,2015,Antes do Desastre,MG,48068,0,0,45454
BOM DESPACHO,02,2016,Após o Desastre,MG,217176,0,0,45454
BOM DESPACHO,03,2015,Antes do Desastre,MG,107168,0,0,45454
BOM DESPACHO,03,2016,Após o Desastre,MG,70400,0,0,45454
BOM DESPACHO,04,2015,Antes do Desastre,MG,3152,0,0,45454
BOM DESPACHO,04,2016,Após o Desastre,MG,880,0,0,45454
BOM DESPACHO,05,2016,Após o Desastre,MG,7832.37,0,0,45454
BOM DESPACHO,07,2016,Após o Desastre,MG,817.85,0,0,45454
BOM DESPACHO,08,2016,Após o Desastre,MG,820.88,0,0,45454
