nome_munic,cod_ibge,uf_cod,micro,meso,regiao,rio_doce,uf,afetado
PIEDADE DE PONTE NOVA,3150208,31,31060,3112,3,1,MG,0
PINGO D'AGUA,3150539,31,31040,3108,3,1,MG,1
PIRANGA,3150802,31,31062,3112,3,1,MG,0
POCRANE,3151909,31,31041,3108,3,1,MG,0
PONTE NOVA,3152105,31,31060,3112,3,1,MG,0
PORTO FIRME,3152303,31,31062,3112,3,1,MG,0
PRESIDENTE BERNARDES,3153103,31,31062,3112,3,1,MG,0
RAUL SOARES,3154002,31,31060,3112,3,1,MG,1
REDUTO,3154150,31,31061,3112,3,1,MG,0
RESPLENDOR,3154309,31,31041,3108,3,1,MG,1
RESSAQUINHA,3154408,31,31059,3111,3,1,MG,0
RIO BANANAL,3204351,32,32006,3202,3,1,ES,0
RIO CASCA,3154903,31,31060,3112,3,1,MG,1
RIO DOCE,3155009,31,31060,3112,3,1,MG,1
RIO ESPERA,3155207,31,31062,3112,3,1,MG,0
RIO PIRACICABA,3155702,31,31031,3107,3,1,MG,0
RIO VERMELHO,3156007,31,31028,3107,3,1,MG,0
SABINOPOLIS,3156809,31,31035,3108,3,1,MG,0
SANTA BARBARA,3157203,31,31031,3107,3,1,MG,0
SANTA BARBARA DO LESTE,3157252,31,31040,3108,3,1,MG,0
SANTA CRUZ DO ESCALVADO,3157401,31,31060,3112,3,1,MG,1
SANTA EFIGENIA DE MINAS,3157500,31,31035,3108,3,1,MG,0
SANTA MARGARIDA,3157906,31,31061,3112,3,1,MG,0
SANTA MARIA DE ITABIRA,3158003,31,31031,3107,3,1,MG,0
SANTA MARIA DO SUACUI,3158201,31,31036,3108,3,1,MG,0
SANTA RITA DE MINAS,3159357,31,31040,3108,3,1,MG,0
SANTA RITA DO ITUETO,3159506,31,31041,3108,3,1,MG,0
SANTA TERESA,3204609,32,32008,3203,3,1,ES,0
SANTANA DO MANHUACU,3158904,31,31061,3112,3,1,MG,0
SANTANA DO PARAISO,3158953,31,31039,3108,3,1,MG,1
SANTANA DOS MONTES,3159100,31,31034,3107,3,1,MG,0
SANTO ANTONIO DO GRAMA,3160108,31,31060,3112,3,1,MG,0
SANTO ANTONIO DO ITAMBE,3160207,31,31028,3107,3,1,MG,0
SANTO ANTONIO DO RIO ABAIXO,3160504,31,31028,3107,3,1,MG,0
SAO DOMINGOS DAS DORES,3160959,31,31040,3108,3,1,MG,0
SAO DOMINGOS DO NORTE,3204658,32,32003,3201,3,1,ES,0
SAO DOMINGOS DO PRATA,3161007,31,31031,3107,3,1,MG,1
SAO GABRIEL DA PALHA,3204708,32,32002,3201,3,1,ES,0
SAO GERALDO,3161502,31,31064,3112,3,1,MG,0
SAO GERALDO DA PIEDADE,3161601,31,31037,3108,3,1,MG,0
SAO GERALDO DO BAIXIO,3161650,31,31037,3108,3,1,MG,0
SAO GONCALO DO RIO ABAIXO,3161908,31,31031,3107,3,1,MG,0
SAO JOAO DO MANHUACU,3162559,31,31061,3112,3,1,MG,0
SAO JOAO DO ORIENTE,3162609,31,31040,3108,3,1,MG,0
SAO JOAO EVANGELISTA,3162807,31,31035,3108,3,1,MG,0
SAO JOSE DA SAFIRA,3163003,31,31037,3108,3,1,MG,0
SAO JOAO EVANGELISTA,3162807,31,31035,3108,3,1,MG,0
SAO JOSE DA SAFIRA,3163003,31,31037,3108,3,1,MG,0
SAO JOSE DO GOIABAL,3163409,31,31031,3107,3,1,MG,1
SAO JOSE DO JACURI,3163508,31,31036,3108,3,1,MG,0
SAO JOSE DO MANTIMENTO,3163607,31,31061,3112,3,1,MG,0
SAO MATEUS,3204906,32,32005,3202,3,1,ES,0
SAO MIGUEL DO ANTA,3163805,31,31062,3112,3,1,MG,0
SAO PEDRO DO SUACUI,3164100,31,31036,3108,3,1,MG,0
SAO PEDRO DOS FERROS,3164001,31,31060,3112,3,1,MG,1
SAO ROQUE DO CANAA,3204955,32,32008,3203,3,1,ES,0
SAO SEBASTIAO DO ANTA,3164472,31,31040,3108,3,1,MG,0
SAO SEBASTIAO DO MARANHAO,3164506,31,31036,3108,3,1,MG,0
SAO SEBASTIAO DO RIO PRETO,3164803,31,31028,3107,3,1,MG,0
SARDOA,3165503,31,31035,3108,3,1,MG,0
SEM-PEIXE,3165560,31,31060,3112,3,1,MG,1
SENADOR FIRMINO,3165701,31,31064,3112,3,1,MG,0
SENHORA DE OLIVEIRA,3166006,31,31062,3112,3,1,MG,0
SENHORA DO PORTO,3166105,31,31035,3108,3,1,MG,0
SENHORA DOS REMEDIOS,3166204,31,31059,3111,3,1,MG,0
SERICITA,3166303,31,31060,3112,3,1,MG,0
SERRA AZUL DE MINAS,3166501,31,31028,3107,3,1,MG,0
SERRO,3167103,31,31028,3107,3,1,MG,0
SIMONESIA,3167608,31,31061,3112,3,1,MG,0
SOBRALIA,3167707,31,31037,3108,3,1,MG,1
SOORETAMA,3205010,32,32006,3202,3,1,ES,0
TAPARUBA,3168051,31,31041,3108,3,1,MG,0
TARUMIRIM,3168408,31,31040,3108,3,1,MG,0
TEIXEIRAS,3168507,31,31062,3112,3,1,MG,0
